"General Electric Company"
"BAE Systems plc"
"Northrop Corporation"
"Boeing Electronics Company"
"Boeing Company"
"Lockheed Missiles and Space Company, Inc."
"Lockheed Martin Advanced Technology Center"
"Lockheed Martin Corporation"
"US Department Of Defense"
"US Department of the Air Force"
"Department of the Air Force"
"United States-Israel Binational Science Foundation (BSF)"
"Government of Israel"
"Chevron Environmental Management Company"
"Chevron Oil Field Research Company"
"Chevron Texaco Corporation"
