"Amerada Hess Corporation"
"Apache Corporation"
"Aramco Overseas Company"
"BHP Billiton Limited"
"BP Amoco"
"BP Exploration, Inc."
"British Petroleum"
"British Petroleum Exploration Operating Company Limited"
"Chevron"
"Chevron Energy Technology Company"
"Chevron Environmental Management Company"
"Chevron Oil Field Research Company"
"Chevron USA, Inc."
"ChevronTexaco Corporation"
"ConocoPhillips Company"
"Devon Energy Corporation"
"ECOPETROL"
"Eni S.p.A."
"Equinor Energy ASA, Norway"
"Equinor US Operations LLC"
"ExxonMobil"
"ExxonMobil Foundation"
"ExxonMobil Research and Engineering Company"
"Gas Technology Institute"
"Gulfport Energy Corporation"
"Northeast Gas Association"
"Occidental Oil and Gas Corporation"
"Occidental Petroleum Corporation"
"Oil and Natural Gas Corporation, Ltd."
"OMV Exploration & Production GmbH"
"Repsol Services Company US"
"Seven Generations Energy Ltd."
"Shell Company Foundation"
"Shell Global Solutions Inc."
"Shell International Exploration and Production, Inc."
"Statoil Research Centre"
"TOTAL E&P RECHERCHE DEVELOPPEMENT"
"Total (Compagnie Francaise Des Petroles)"
"Total E&P Research and Technology USA, LLC"
"TotalEnergies"
"TotalEnergies American Services, Inc."
"TotalEnergies SE"
