"Chevron USA, Inc."
"Shell International Exploration and Production, Inc."
ExxonMobil
ExxonMobil Research and Engineering Company
OMV Exploration & Production GmbH
"Chevron USA, Inc."
Gas Technology Institute
Northeast Gas Association
"TotalEnergies American Services, Inc."
Chevron
TotalEnergies
TotalEnergies SE
